City;CloseDate;EntityIDRoundID;IndustryCode;Industry Group;Industry Segment;Metropolitan Statistical Area;PrimaryRegion;RoundBusStat;RoundClassDescr;State;Subregion;Deals;Number of Deals;Raised
San Francisco;1/20/2011;81119753646;Communications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;13
Mountain View;1/20/2011;6,12E+16;Software Development Tools;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Startup;Seed Round;COAH;San Francisco Bay Area;1;1;0.02
Sunnyvale;1/21/2011;6,05E+16;Payment/Transactional Processing;Business and Financial Services;Financial Institutions and Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;10.58
San Diego;1/21/2011;55917753699;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Product Development;Later Stage;COAH;San Diego Metro;1;1;0.01
Davis;1/21/2011;54687753653;Crop Cultivation/Horticulture;Industrial Goods and Materials;Agriculture and Forestry;Sacramento--Arden-Arcade--Roseville, COAH;Northern California;Generating Revenue;Later Stage;COAH;;1;1;17.7
Palo Alto;1/21/2011;3,59E+16;Database Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;25.9
Newark;1/24/2011;93229753643;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Francisco-Oakland-Fremont, COAH;Northern California;Clinical Trials - Phase 2;Later Stage;COAH;San Francisco Bay Area;1;1;45
Milpitas;1/24/2011;1,83E+16;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;12.5
Santa Clara;1/24/2011;3,55E+16;Electronic Components/Devices;Information Technology;Electronics and Computer Hardware;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;3
San Jose;1/25/2011;6,07E+16;Data Management Services;Business and Financial Services;Business Support Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;22.5
San Francisco;1/25/2011;3,56E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;6.29
Pacific Palisades;1/25/2011;6,13E+16;Travel and Leisure: Other;Consumer Services;Travel and Leisure;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;First Round;COAH;Los Angeles Metro;1;1;156.217.541
San Francisco;1/25/2011;1,13E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;1.7
Livermore;1/25/2011;6,12E+16;Solar Energy;Energy and Utilities;Renewable Energy;San Francisco-Oakland-Fremont, COAH;Northern California;Profitable;First Round;COAH;San Francisco Bay Area;1;1;7
Laguna Hills;1/25/2011;72808755640;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Clinical Trials - Generic;Later Stage;COAH;Orange County;1;1;6
Laguna Hills;1/25/2011;72808753594;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Clinical Trials - Generic;Later Stage;COAH;Orange County;1;1;29.5
Torrance;1/25/2011;3,60E+16;Data Storage;Information Technology;Electronics and Computer Hardware;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Second Round;COAH;Los Angeles Metro;1;1;
Newark;1/26/2011;1,10E+16;Automotive Parts;Consumer Goods;Vehicles and Parts;San Francisco-Oakland-Fremont, COAH;Northern California;Product In Beta Test;Later Stage;COAH;San Francisco Bay Area;1;1;17
Santa Clara;1/26/2011;61118753654;Design Automation Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;2
New York;1/27/2011;6,12E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;New York-Northern New Jersey-Long Island, NY-NJ-PA;Mid-Atlantic;Generating Revenue;Seed Round;COAH;New York Metro;1;1;0.02
Scotts Valley;1/27/2011;1,83E+16;Recreational/Sports Vehicles;Consumer Goods;Vehicles and Parts;Santa Cruz-Watsonville, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;2
Pleasanton;1/27/2011;85588753656;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;26
Aliso Viejo;1/27/2011;99857753954;Communications Software;Information Technology;Software;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Profitable;Individual;COAH;Orange County;1;1;2.8
San Francisco;1/28/2011;6,13E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;6.44
San Francisco;1/28/2011;6,10E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;10.84
Newark;1/28/2011;85595753900;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;33.79
Sunnyvale;1/28/2011;67886753902;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;5
Palo Alto;1/31/2011;6,15E+16;Data Management Services;Business and Financial Services;Business Support Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product In Beta Test;First Round;COAH;San Francisco Bay Area;1;1;2.5
Pleasanton;1/31/2011;71052753193;Customer Relationship Management;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;8.6
San Francisco;1/31/2011;6,12E+14;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;17.5
Pleasanton;1/31/2011;83572753615;Drug Development Technologies;Healthcare;Biopharmaceuticals;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;20.62
Sunnyvale;1/31/2011;1,14E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;35
Palo Alto;1/31/2011;6,14E+16;Multimedia/Streaming Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;
San Francisco;1/31/2011;6,12E+16;Communications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Startup;First Round;COAH;San Francisco Bay Area;1;1;2.25
Marina del Rey;1/31/2011;1,11E+16;Communications Software;Information Technology;Software;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Later Stage;COAH;Los Angeles Metro;1;1;15
San Francisco;1/31/2011;6,05E+16;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;19.05
San Francisco;1/31/2011;6,13E+16;Recreational/Home Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Product In Beta Test;Seed Round;COAH;San Francisco Bay Area;1;1;0.02
San Diego;02/01/2011;1,00E+16;Business to Business Marketplaces;Business and Financial Services;Business Support Services;San Diego-Carlsbad-San Marcos, COAH;Southern California;Generating Revenue;Later Stage;COAH;San Diego Metro;1;1;5.48
Los Angeles;02/01/2011;6,12E+16;Entertainment;Consumer Services;Consumer Information Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;First Round;COAH;Los Angeles Metro;1;1;2
Sunnyvale;02/01/2011;65516754039;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Pre-Clinical Trials;Second Round;COAH;San Francisco Bay Area;1;1;2.17
San Jose;02/01/2011;95724753878;Materials and Chemicals: Other;Industrial Goods and Materials;Materials and Chemicals;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;5.21
Santa Monica;02/02/2011;6,12E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Profitable;First Round;COAH;Los Angeles Metro;1;1;2
Mountain View;02/02/2011;72730754827;Advertising/Marketing;Business and Financial Services;Business Support Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;6
San Francisco;02/02/2011;6,12E+16;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;7
San Francisco;02/02/2011;93251754326;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Individual;COAH;San Francisco Bay Area;1;1;
San Francisco;02/02/2011;1,14E+16;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;4
Morgan Hill;02/02/2011;55088754112;Application-Specific Integrated Circuits;Information Technology;Semiconductors;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;14.43
Mountain View;02/02/2011;6,12E+16;Software: Other;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Startup;Seed Round;COAH;San Francisco Bay Area;1;1;2
Oakland;02/03/2011;73706753957;Procurement/Supply Chain;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Profitable;Later Stage;COAH;San Francisco Bay Area;1;1;5.75
San Francisco;02/03/2011;6,12E+16;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;2
San Mateo;02/03/2011;3,60E+16;Educational/Training Media and Services;Consumer Services;Media and Content;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;20
San Francisco;02/03/2011;6,12E+16;Vertical Market Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;3
San Mateo;02/04/2011;95572757845;Communications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Restart;COAH;San Francisco Bay Area;1;1;4.15
Palo Alto;02/07/2011;87759753720;Entertainment;Consumer Services;Consumer Information Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Corporate;COAH;San Francisco Bay Area;1;1;40
Burlingame;02/07/2011;81506753899;Clothing/Accessory Retailers;Consumer Services;Retailers;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;37
Saratoga;02/07/2011;6,12E+16;Biopharmaceuticals: Other;Healthcare;Biopharmaceuticals;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;2.51
Mountain View;02/07/2011;6,03E+16;Memory Systems;Information Technology;Electronics and Computer Hardware;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Corporate;COAH;San Francisco Bay Area;1;1;36.18
Mountain View;02/07/2011;1,83E+15;Wired Communications Equipment;Information Technology;Communications and Networking;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Profitable;Second Round;COAH;San Francisco Bay Area;1;1;1.04
Sunnyvale;02/08/2011;2,30E+16;Network/Systems Management Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product In Beta Test;First Round;COAH;San Francisco Bay Area;1;1;
San Francisco;02/08/2011;83114754021;Wireless Communications Equipment;Information Technology;Communications and Networking;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;15
San Francisco;02/09/2011;1,07E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;4
San Diego;02/09/2011;64251753952;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Clinical Trials - Phase 2;Second Round;COAH;San Diego Metro;1;1;27.5
Redwood City;02/09/2011;6,12E+16;Conferencing Equipment/Services;Information Technology;Communications and Networking;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;7.5
Campbell;02/09/2011;62297754193;Business Applications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Restart;COAH;San Francisco Bay Area;1;1;7.02
Mountain View;02/10/2011;1,16E+16;Online Communities;Consumer Services;Consumer Information Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;15
Union City;02/10/2011;6,12E+16;Software: Other;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;
Irvine;02/11/2011;6,12E+16;Personal Care Products;Consumer Goods;Personal Goods;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;First Round;COAH;Orange County;1;1;6.2
Pasadena;02/11/2011;6,12E+16;Online Communities;Consumer Services;Consumer Information Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Startup;First Round;COAH;Los Angeles Metro;1;1;
Sausalito;02/11/2011;1,13E+15;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;12
Santa Rosa;02/11/2011;96980746813;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;22.09
San Diego;02/11/2011;2,31E+16;Medical Devices and Equipment: Other;Healthcare;Medical Devices and Equipment;San Diego-Carlsbad-San Marcos, COAH;Southern California;Generating Revenue;Second Round;COAH;San Diego Metro;1;1;1.5
Los Altos;02/11/2011;73746754554;Network/Systems Management Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;14.05
San Francisco;2/14/2011;6,12E+16;Automotive Parts;Consumer Goods;Vehicles and Parts;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;5
San Francisco;2/14/2011;6,09E+16;Search Portals;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Product In Beta Test;First Round;COAH;San Francisco Bay Area;1;1;4
Pasadena;2/14/2011;6,05E+14;Online Communities;Consumer Services;Consumer Information Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Second Round;COAH;Los Angeles Metro;1;1;17.5
Mountain View;2/14/2011;3,55E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Pre-Clinical Trials;Second Round;COAH;San Francisco Bay Area;1;1;21
Menlo Park;2/14/2011;1,12E+16;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;
Palo Alto;2/14/2011;3,54E+16;Multimedia/Streaming Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;2.89
San Francisco;2/14/2011;6,10E+16;Graphics/Publishing Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;11
San Francisco;2/15/2011;6,12E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Startup;First Round;COAH;San Francisco Bay Area;1;1;2.5
San Mateo;2/15/2011;1,06E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Profitable;Later Stage;COAH;San Francisco Bay Area;1;1;25
Santa Clara;2/15/2011;83495754416;Solar Energy;Energy and Utilities;Renewable Energy;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;106
San Francisco;2/15/2011;6,12E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;9.5
San Diego;2/15/2011;84634758039;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Clinical Trials - Phase 2;Later Stage;COAH;San Diego Metro;1;1;6.25
Woodside;2/15/2011;6,07E+16;Recreational/Home Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;7
Redwood City;2/15/2011;84916742114;Business Applications Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;20.17
Mountain View;2/16/2011;6,12E+16;Drug Development Technologies;Healthcare;Biopharmaceuticals;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;First Round;COAH;San Francisco Bay Area;1;1;
Palo Alto;2/17/2011;61505754797;Diagnostic Equipment (Not Imaging);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;60
San Diego;2/17/2011;80464754720;Graphics/Publishing Software;Information Technology;Software;San Diego-Carlsbad-San Marcos, COAH;Southern California;Generating Revenue;Later Stage;COAH;San Diego Metro;1;1;6.89
San Diego;2/17/2011;6,04E+15;Computer Systems;Information Technology;Electronics and Computer Hardware;San Diego-Carlsbad-San Marcos, COAH;Southern California;Product Development;Second Round;COAH;San Diego Metro;1;1;10.9
San Bruno;2/18/2011;6,14E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;8
Palo Alto;2/18/2011;60083755567;Data Management Services;Business and Financial Services;Business Support Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;38
San Francisco;2/18/2011;1,11E+16;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Profitable;Later Stage;COAH;San Francisco Bay Area;1;1;490
San Francisco;2/18/2011;3,56E+16;Online Communities;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;5.4
