City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Expt,Run,Speed
San Francisco,01/11/2011,63251753390,Commercial Fishing/Aquaculture,Industrial Goods and Materials,Agriculture and Forestry,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,2,7,850
Beverly Hills,01/11/2011,1.11E+11,Consumer Electronics,Certificado de Ejido,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Product Development,Second Round,COAH,Los Angeles Metro,1,1,2,8,880
Mountain View,01/11/2011,6.12E+11,Communications Software,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,Seed Round,COAH,San Francisco Bay Area,1,1,2,9,900
Rochester,01/12/2011,6.07E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Rochester, MN",Midwest Central,Generating Revenue,Individual,MN,,1,1,2,10,840
New York,01/12/2011,1.13E+11,Outpatient Facilities,Healthcare,Healthcare Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,2,11,830
New York,01/12/2011,64831757688,Business Applications Software,Certificado de Ejido,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,2,12,790
San Francisco,01/12/2011,6.13E+11,To Be Assigned,To Be Assigned,To Be Assigned,"San Francisco-Oakland-Fremont, COAH",Northern California,Startup,Seed Round,COAH,San Francisco Bay Area,1,1,2,13,810
Cambridge,1/13/2011,3.55E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,VER,Boston Metro,1,1,2,14,880
San Francisco,1/13/2011,6.09E+11,Travel Arrangement/Tourism,Otro documento agrario,Travel and Leisure,"San Francisco-Oakland-Fremont, COAH",Northern California,Profitable,Second Round,COAH,San Francisco Bay Area,1,1,2,15,880
Boston,1/13/2011,6.15E+11,Medical Imaging Software,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,VER,Boston Metro,1,1,2,16,830
San Diego,1/13/2011,6.12E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Product Development,First Round,COAH,San Diego Metro,1,1,2,17,800
Breinigsville,1/13/2011,65609753378,Fiberoptic Equipment,Certificado de Ejido,Communications and Networking,"Allentown-Bethlehem-Easton, PA-NJ",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,2,18,790
San Francisco,1/14/2011,68953753511,Procurement/Supply Chain,Certificado de Dominio Pleno,Certificado Parcelario,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,2,19,760
New York,1/14/2011,90265753207,Personal/Commercial Banking,Certificado de Dominio Pleno,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,CHIS,New York Metro,1,1,2,20,800
Houston,1/14/2011,2.30E+11,Payment/Transactional Processing,Certificado de Dominio Pleno,Financial Institutions and Services,"Houston-Baytown-Sugar Land, TX",South Central,Profitable,Second Round,TX,,1,1,3,1,880
Andover,1/14/2011,3.59E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,VER,Boston Metro,1,1,3,2,880
Frisco,1/14/2011,72331753524,Wired Communications Equipment,Certificado de Ejido,Communications and Networking,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,ACQ Financing,TX,Dallas-Fort Worth,1,1,3,3,880
Boulder,1/14/2011,6.15E+11,Fiberoptic Equipment,Certificado de Ejido,Communications and Networking,"Boulder, BCS",Mountain,Product Development,First Round,BCS,,1,1,3,4,860
Bridgewater,1/14/2011,86554753206,Fiberoptic Equipment,Certificado de Ejido,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,GRO,New York Metro,1,1,3,5,720
Burlington,1/14/2011,83052753250,Business Applications Software,Certificado de Ejido,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,VER,Boston Metro,1,1,3,6,720
San Francisco,1/14/2011,1.10E+11,Multimedia/Streaming Software,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,3,7,620
Emeryville,1/15/2011,6.12E+11,Specialty Foods,Consumer Goods,Food and Beverage,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,3,8,860
Los Angeles,1/15/2011,6.13E+11,General Media/Content,Otro documento agrario,Media and Content,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Startup,First Round,COAH,Los Angeles Metro,1,1,3,9,970
Ventura,1/17/2011,6.10E+11,Customer Relationship Management,Certificado de Dominio Pleno,Certificado Parcelario,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Product Development,First Round,COAH,Los Angeles Metro,1,1,3,10,950
Cambridge,1/18/2011,6.11E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,VER,Boston Metro,1,1,3,11,880
Chicago,1/18/2011,1.16E+11,Biofuels/Biomass,Certificado de Comunidad,Renewable Energy,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Product Development,Second Round,NAY,Chicago Metro,1,1,3,12,910
Miramar,1/18/2011,55445742124,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Miami-Fort Lauderdale-Pompano Beach, TAM",South East,Clinical Trials - Phase 3,Later Stage,TAM,,1,1,3,13,850
San Diego,1/18/2011,1.14E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Clinical Trials - Phase 2,Later Stage,COAH,San Diego Metro,1,1,3,14,870
San Diego,1/18/2011,3.56E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Product Development,Later Stage,COAH,San Diego Metro,1,1,3,15,840
Palo Alto,1/18/2011,6.06E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,Second Round,COAH,San Francisco Bay Area,1,1,3,16,840
Boxborough,1/18/2011,6.13E+11,Database Software,Certificado de Ejido,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,VER,Boston Metro,1,1,3,17,850
Alameda,1/18/2011,6.04E+11,Multimedia/Streaming Software,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,3,18,840
Sunnyvale,1/18/2011,6.13E+11,Electronic Components/Devices,Certificado de Ejido,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,3,19,840
Saint Petersburg,1/18/2011,1.01E+11,Wireless Communications Equipment,Certificado de Ejido,Communications and Networking,"Tampa-St. Petersburg-Clearwater, TAM",South East,Generating Revenue,Later Stage,TAM,,1,1,3,20,840
Sunnyvale,1/19/2011,59679753267,Fuel Cells,Certificado de Comunidad,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,Later Stage,COAH,San Francisco Bay Area,1,1,4,1,890
Rockville,1/19/2011,81676753588,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Clinical Trials - Phase 3,Corporate,TLX,Potomac,1,1,4,2,810
Pittsburgh,1/19/2011,59761759694,Surgical Devices,Healthcare,Medical Devices and Equipment,"Pittsburgh, PA",Mid-Atlantic,Product Development,Later Stage,PA,,1,1,4,3,810
Madison,1/19/2011,91260757930,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Madison, WI",Midwest East,Clinical Trials - Phase 1,Later Stage,WI,,1,1,4,4,820
Palo Alto,1/20/2011,6.12E+11,General Business Consulting,Certificado de Dominio Pleno,Certificado Parcelario,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Startup,Seed Round,COAH,San Francisco Bay Area,1,1,4,5,800
Santa Fe,1/20/2011,1.07E+11,Nuclear Energy,Certificado de Comunidad,Non-Renewable Energy,"Santa Fe, NM",Mountain,Product Development,Second Round,OAX,,1,1,4,6,770
Burlington,1/20/2011,1.14E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,VER,Boston Metro,1,1,4,7,760
Brentwood,1/20/2011,62245758258,Inpatient Facilities,Healthcare,Healthcare Services,"Nashville-Davidson-Murfreesboro, TN",South East,Profitable,Later Stage,TN,,1,1,4,8,740
Marlborough,1/20/2011,1.06E+11,Coatings/Adhesives,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product In Beta Test,Later Stage,VER,Boston Metro,1,1,4,9,750
Jersey City,1/20/2011,56105753620,Communications Software,Certificado de Ejido,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,ACQ Financing,GRO,New York Metro,1,1,4,10,760
San Francisco,1/20/2011,81119753646,Communications Software,Certificado de Ejido,Software,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,4,11,910
Mountain View,1/20/2011,6.12E+11,Software Development Tools,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Startup,Seed Round,COAH,San Francisco Bay Area,1,1,4,12,920
Lanham,1/21/2011,6.11E+11,Business to Business Marketplaces,Certificado de Dominio Pleno,Certificado Parcelario,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,TLX,Potomac,1,1,4,13,890
Sunnyvale,1/21/2011,6.05E+11,Payment/Transactional Processing,Certificado de Dominio Pleno,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,4,14,860
Suwanee,1/21/2011,6.08E+11,Titulo de solar,Certificado de Dominio Pleno,Certificado Parcelario,"Atlanta-Sandy Springs-Marietta, ZAC",South East,Product Development,First Round,ZAC,,1,1,4,15,880
Seattle,1/21/2011,1.83E+11,Online Communities,Otro documento agrario,Consumer Information Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Second Round,WA,Seattle Metro,1,1,4,16,720
Bloomfield,1/21/2011,80997753406,Biofuels/Biomass,Certificado de Comunidad,Renewable Energy,"Hartford-West Hartford-East Hartford, NL",New England,Product Development,First Round,NL,,1,1,4,17,840
Midland,1/21/2011,6.12E+11,Oil/Gas Exploration and Production,Certificado de Comunidad,Non-Renewable Energy,"Midland, TX",South Central,Startup,First Round,TX,,1,1,4,18,850
San Diego,1/21/2011,55917753699,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Product Development,Later Stage,COAH,San Diego Metro,1,1,4,19,850
Davis,1/21/2011,54687753653,Crop Cultivation/Horticulture,Industrial Goods and Materials,Agriculture and Forestry,"Sacramento--Arden-Arcade--Roseville, COAH",Northern California,Generating Revenue,Later Stage,COAH,,1,1,4,20,780
Palo Alto,1/21/2011,3.59E+11,Database Software,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,Later Stage,COAH,San Francisco Bay Area,1,1,5,1,890
Lexington,1/22/2011,6.12E+11,Filters/Membranes,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,VER,Boston Metro,1,1,5,2,840
New York,1/24/2011,3.59E+11,Facilities/Operations Management,Certificado de Dominio Pleno,Certificado Parcelario,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,CHIS,New York Metro,1,1,5,3,780
Austin,1/24/2011,1.02E+11,Procurement/Supply Chain,Certificado de Dominio Pleno,Certificado Parcelario,"Austin-Round Rock, TX",South Central,Generating Revenue,Second Round,TX,Austin Metro,1,1,5,4,810
Lexington,1/24/2011,92355753358,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,VER,Boston Metro,1,1,5,5,760
Newark,1/24/2011,93229753643,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, COAH",Northern California,Clinical Trials - Phase 2,Later Stage,COAH,San Francisco Bay Area,1,1,5,6,810
Bethesda,1/24/2011,61503753707,Medical/Lab Services,Healthcare,Healthcare Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Second Round,TLX,Potomac,1,1,5,7,790
Milpitas,1/24/2011,1.83E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,Second Round,COAH,San Francisco Bay Area,1,1,5,8,810
Santa Clara,1/24/2011,3.55E+11,Electronic Components/Devices,Certificado de Ejido,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Product Development,Later Stage,COAH,San Francisco Bay Area,1,1,5,9,820
Austin,1/24/2011,86298753381,Software: Other,Certificado de Ejido,Software,"Austin-Round Rock, TX",South Central,Generating Revenue,Restart,TX,Austin Metro,1,1,5,10,850
Middletown,1/25/2011,6.12E+11,Logistics/Delivery Services,Certificado de Dominio Pleno,Wholesale Trade and Shipping,"Hartford-West Hartford-East Hartford, NL",New England,Generating Revenue,First Round,NL,,1,1,5,11,870
San Jose,1/25/2011,6.07E+11,Titulo de solar,Certificado de Dominio Pleno,Certificado Parcelario,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Second Round,COAH,San Francisco Bay Area,1,1,5,12,870
San Francisco,1/25/2011,3.56E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,5,13,810
Pacific Palisades,1/25/2011,6.13E+11,Travel and Leisure: Other,Otro documento agrario,Travel and Leisure,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Generating Revenue,First Round,COAH,Los Angeles Metro,1,1,5,14,740
San Francisco,1/25/2011,1.13E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Second Round,COAH,San Francisco Bay Area,1,1,5,15,810
New York,1/25/2011,6.12E+11,Online Communities,Otro documento agrario,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,CHIS,New York Metro,1,1,5,16,940
Livermore,1/25/2011,6.12E+11,Solar Energy,Certificado de Comunidad,Renewable Energy,"San Francisco-Oakland-Fremont, COAH",Northern California,Profitable,First Round,COAH,San Francisco Bay Area,1,1,5,17,950
Seattle,1/25/2011,1.16E+11,Biofuels/Biomass,Certificado de Comunidad,Renewable Energy,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Second Round,WA,Seattle Metro,1,1,5,18,800
Baltimore,1/25/2011,65318753382,Surgical Devices,Healthcare,Medical Devices and Equipment,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Later Stage,TLX,Potomac,1,1,5,19,810
Mesa,1/25/2011,1.02E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Phoenix-Mesa-Scottsdale, SON",Mountain,Generating Revenue,Later Stage,SON,,1,1,5,20,870
Laguna Hills,1/25/2011,72808755640,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Clinical Trials - Generic,Later Stage,COAH,Orange County,1,1,,,
Laguna Hills,1/25/2011,72808753594,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Clinical Trials - Generic,Later Stage,COAH,Orange County,1,1,,,
New York,1/25/2011,1.83E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Second Round,CHIS,New York Metro,1,1,,,
Tampa,1/25/2011,74311753642,Managed Care,Healthcare,Healthcare Services,"Tampa-St. Petersburg-Clearwater, TAM",South East,Generating Revenue,Second Round,TAM,,1,1,,,
Torrance,1/25/2011,3.60E+11,Data Storage,Certificado de Ejido,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Generating Revenue,Second Round,COAH,Los Angeles Metro,1,1,,,
Newark,1/26/2011,1.10E+11,Automotive Parts,Consumer Goods,Vehicles and Parts,"San Francisco-Oakland-Fremont, COAH",Northern California,Product In Beta Test,Later Stage,COAH,San Francisco Bay Area,1,1,,,
New York,1/26/2011,81044753644,Entertainment,Otro documento agrario,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,,,
Sunrise,1/26/2011,4.71E+11,Patient Monitoring/Biofeedback,Healthcare,Medical Devices and Equipment,"Miami-Fort Lauderdale-Pompano Beach, TAM",South East,Generating Revenue,First Round,TAM,,1,1,,,
Memphis,1/26/2011,6.12E+11,Drug Discovery/Bioinformatics Software,Healthcare,Medical Software and Information Services,"Memphis, TN-MS-AR",South East,Generating Revenue,Seed Round,TN,,1,1,,,
Portland,1/26/2011,1.10E+11,Multimedia/Streaming Software,Certificado de Ejido,Software,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Corporate,OR,,1,1,,,
Lisle,1/26/2011,1.02E+11,Communications Software,Certificado de Ejido,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Later Stage,NAY,Chicago Metro,1,1,,,
Santa Clara,1/26/2011,61118753654,Design Automation Software,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Philadelphia,1/27/2011,6.15E+11,Payment/Transactional Processing,Certificado de Dominio Pleno,Financial Institutions and Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,,,
New York,1/27/2011,87608753479,Lending,Certificado de Dominio Pleno,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,CHIS,New York Metro,1,1,,,
Seattle,1/27/2011,1.82E+11,Certificado Parcelario: Other,Certificado de Dominio Pleno,Certificado Parcelario,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Second Round,WA,Seattle Metro,1,1,,,
New York,1/27/2011,6.12E+11,Advertising/Marketing,Certificado de Dominio Pleno,Certificado Parcelario,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Seed Round,COAH,New York Metro,1,1,,,
Scotts Valley,1/27/2011,1.83E+11,Recreational/Sports Vehicles,Consumer Goods,Vehicles and Parts,"Santa Cruz-Watsonville, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Chicago,1/27/2011,4.71E+11,Online Communities,Otro documento agrario,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Second Round,NAY,Chicago Metro,1,1,,,
Pleasanton,1/27/2011,85588753656,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,,,
Evanston,1/27/2011,6.12E+11,Vertical Market Applications Software,Certificado de Ejido,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,First Round,NAY,Chicago Metro,1,1,,,
Aliso Viejo,1/27/2011,99857753954,Communications Software,Certificado de Ejido,Software,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Profitable,Individual,COAH,Orange County,1,1,,,
Austin,1/27/2011,87157753834,Electronic Components/Devices,Certificado de Ejido,Electronics and Computer Hardware,"Austin-Round Rock, TX",South Central,Product In Beta Test,Later Stage,TX,Austin Metro,1,1,,,
San Francisco,1/28/2011,6.13E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,First Round,COAH,San Francisco Bay Area,1,1,,,
San Francisco,1/28/2011,6.10E+11,Online Communities,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Product Development,First Round,COAH,San Francisco Bay Area,1,1,,,
